gene	mean	median	longest_isoform	merged
ENSG00000290825.1	1657	1657	1657	1657
ENSG00000223972.6	632	632	632	632
ENSG00000227232.5	1351	1351	1351	1351
ENSG00000278267.1	68	68	68	68
ENSG00000243485.5	623	623	712	1021
ENSG00000284332.1	138	138	138	138
ENSG00000237613.2	1187	1187	1187	1187
ENSG00000268020.3	840	840	840	840
ENSG00000290826.1	1414	1414	1414	1414
ENSG00000240361.3	939	939	939	939
ENSG00000186092.7	2618	2618	2618	2618
ENSG00000238009.6	1735	1735	2748	3317
ENSG00000239945.1	1319	1319	1319	1319
ENSG00000233750.3	3812	3812	3812	3812
ENSG00000268903.1	755	755	755	755
ENSG00000269981.1	284	284	284	284
ENSG00000239906.1	323	323	323	323
ENSG00000241860.7	2327	1301	4860	6571
ENSG00000222623.1	104	104	104	104
ENSG00000241599.1	457	457	457	457
ENSG00000279928.2	570	570	570	570
ENSG00000279457.4	1397	1397	1397	1397
ENSG00000273874.1	68	68	68	68
ENSG00000228463.10	1335	1292	2256	2666
ENSG00000286448.1	736	736	736	736
ENSG00000236679.2	385	385	385	385
ENSG00000236601.2	994	994	994	994
ENSG00000290385.1	627	622	902	4439
ENSG00000269732.1	363	363	363	363
ENSG00000284733.2	939	939	939	939
ENSG00000237094.13	183	183	183	183
ENSG00000233653.3	2477	2477	2477	2477
ENSG00000250575.1	1239	1239	1239	1239
ENSG00000278757.1	104	104	104	104
ENSG00000230021.10	660	891	906	1570
ENSG00000235146.2	607	607	607	607
ENSG00000225972.1	372	372	372	372
ENSG00000225630.1	1044	1044	1044	1044
ENSG00000237973.1	1543	1543	1543	1543
ENSG00000278791.1	89	89	89	89
ENSG00000229344.1	682	682	682	682
ENSG00000240409.1	207	207	207	207
ENSG00000248527.1	681	681	681	681
ENSG00000198744.5	547	547	547	547
ENSG00000268663.1	424	424	424	424
ENSG00000284662.2	939	939	939	939
ENSG00000229376.3	2455	2455	2455	2455
ENSG00000291215.1	6469	6469	6469	6469
ENSG00000223181.1	104	104	104	104
ENSG00000229905.1	456	456	456	456
ENSG00000228327.6	417	417	417	417
ENSG00000237491.10	1552	1289	2949	5305
ENSG00000285268.1	114	114	114	114
ENSG00000290784.1	872	872	872	872
ENSG00000230092.8	238	238	238	238
ENSG00000177757.2	1947	1947	1947	1947
ENSG00000225880.6	3312	3312	3312	3312
ENSG00000228794.12	3373	1940	8389	10596
ENSG00000288531.1	2289	2289	2509	3292
ENSG00000230368.2	1155	1155	1807	1971
ENSG00000234711.1	1058	1058	1058	1058
ENSG00000283040.1	837	837	837	837
ENSG00000272438.1	351	351	351	351
ENSG00000230699.2	3043	3043	3043	3043
ENSG00000241180.1	443	443	443	443
ENSG00000223764.2	1389	1389	1389	1389
ENSG00000187634.13	3163	3465	3468	3586
ENSG00000188976.11	2757	2757	2757	2757
ENSG00000187961.15	2567	2567	2567	2567
ENSG00000187583.11	2608	2455	3176	3332
ENSG00000187642.10	3016	3035	3520	3544
ENSG00000272512.1	2086	2086	2086	2086
ENSG00000188290.11	864	885	1040	1040
ENSG00000187608.10	712	712	787	867
ENSG00000231702.2	154	154	154	154
ENSG00000224969.1	471	471	471	471
ENSG00000188157.15	7360	7360	7394	7397
ENSG00000242590.1	402	402	402	402
ENSG00000291156.1	1152	1152	1152	1152
ENSG00000273443.1	829	829	829	829
ENSG00000217801.13	1219	1219	1219	1219
ENSG00000237330.3	1900	1900	1900	1900
ENSG00000131591.18	1920	2078	2429	3105
ENSG00000285812.1	1095	1095	1095	1095
ENSG00000223823.1	1620	1620	1620	1620
ENSG00000207730.3	95	95	95	95
ENSG00000207607.3	90	90	90	90
ENSG00000198976.1	83	83	83	83
ENSG00000272141.1	987	987	987	987
ENSG00000205231.1	3532	3532	3532	3532
ENSG00000162571.14	2236	2288	2307	3178
ENSG00000186891.14	841	789	1083	1271
ENSG00000186827.12	1028	1075	1184	1406
ENSG00000078808.20	2006	2006	2079	2079
ENSG00000176022.7	2805	2805	2805	2805
ENSG00000184163.3	1036	1036	1036	1036
ENSG00000260179.1	1558	1558	1558	1558
ENSG00000160087.21	1554	1057	2387	2605
ENSG00000230415.1	328	328	389	513
ENSG00000162572.21	2983	2890	3475	3859
ENSG00000131584.19	3036	3036	3793	3793
ENSG00000278073.1	61	61	61	61
ENSG00000169972.13	1257	1257	1257	1257
ENSG00000127054.22	1923	1862	2629	3430
ENSG00000283712.1	65	65	65	65
ENSG00000240731.1	386	386	386	386
ENSG00000224051.7	2154	2154	2154	2154
ENSG00000169962.5	3475	3475	3475	3475
ENSG00000107404.21	3115	3115	3305	3307
ENSG00000284372.1	59	59	59	59
ENSG00000162576.17	2313	2262	2728	3088
ENSG00000175756.14	874	836	1072	1122
ENSG00000223663.2	367	367	367	367
ENSG00000221978.13	2149	2149	3112	3628
ENSG00000224870.9	1868	1868	1868	1868
ENSG00000242485.6	874	874	1049	1400
ENSG00000264293.2	293	293	293	293
ENSG00000272455.1	1523	1523	1523	1523
ENSG00000235098.9	1602	1632	2024	2644
ENSG00000225905.1	543	543	543	543
ENSG00000205116.4	3217	3217	3217	3217
ENSG00000225285.1	572	572	634	811
ENSG00000179403.12	3319	3319	4492	4659
ENSG00000215915.10	3864	3864	3864	3864
ENSG00000160072.20	3106	3106	4098	4098
ENSG00000290916.1	660	660	660	660
ENSG00000284740.3	227	227	227	227
ENSG00000197785.14	2474	2481	2612	2786
ENSG00000205090.9	964	796	1381	2009
ENSG00000160075.12	2730	2730	4176	5209
ENSG00000215014.5	841	841	841	841
ENSG00000274481.1	400	400	400	400
ENSG00000228594.4	2124	2124	2124	2124
ENSG00000286989.1	1830	1830	1830	1830
ENSG00000272106.1	2038	2038	2038	2038
ENSG00000197530.13	3136	3206	3311	3798
ENSG00000189409.14	1278	1278	1309	1315
ENSG00000248333.9	2607	2515	2992	3490
ENSG00000272004.1	400	400	400	400
ENSG00000189339.12	4846	5948	6434	7017
ENSG00000269737.2	962	962	1422	1819
ENSG00000215914.4	1017	1017	1017	1017
ENSG00000008128.23	2564	2452	2984	3170
ENSG00000268575.1	5079	5079	5079	5079
ENSG00000227775.3	453	453	497	807
ENSG00000290854.1	1589	1430	2078	3264
ENSG00000215790.9	732	732	732	732
ENSG00000008130.15	3328	3235	3653	3880
ENSG00000078369.19	2835	3008	3484	5360
ENSG00000231050.3	1018	1018	1018	1018
ENSG00000169885.10	670	670	670	670
ENSG00000178821.13	1026	1026	1118	1302
ENSG00000142609.20	5301	5301	5355	5412
ENSG00000233542.2	1465	1465	1954	2063
ENSG00000187730.9	1734	1695	1914	2218
ENSG00000226969.1	437	437	437	437
ENSG00000067606.17	2339	2339	2385	2853
ENSG00000271806.1	4196	4196	4196	4196
ENSG00000182873.5	937	937	1253	1734
ENSG00000162585.17	1070	1070	1413	1783
ENSG00000234396.3	326	326	326	326
ENSG00000157933.11	6083	6083	6083	6083
ENSG00000287356.1	4853	4853	5675	5794
ENSG00000116151.14	1572	1572	1645	2088
ENSG00000272161.1	493	493	493	493
ENSG00000269896.2	1310	1310	2407	2407
ENSG00000272420.1	568	568	568	568
ENSG00000157916.20	2084	2469	3028	4989
ENSG00000157911.11	2560	2835	2905	2905
ENSG00000149527.18	5052	4870	5450	5881
ENSG00000224387.1	455	455	455	455
ENSG00000229393.1	514	514	514	514
ENSG00000157881.16	2582	2582	2641	2641
ENSG00000197921.6	1324	1324	1324	1324
ENSG00000272449.3	1531	1531	1531	1531
ENSG00000238164.6	2337	2585	3608	6137
ENSG00000157873.18	1299	1299	1702	1921
ENSG00000225931.3	1297	1297	1297	1297
ENSG00000228037.1	626	626	626	626
ENSG00000289610.2	451	451	451	451
ENSG00000157870.17	2464	2718	2827	2828
ENSG00000142606.16	2411	2411	2879	2879
ENSG00000237058.1	373	373	373	373
ENSG00000215912.13	4777	4777	7780	7780
ENSG00000285945.1	593	593	593	593
ENSG00000283259.1	1565	1565	1565	1565
ENSG00000233234.1	607	607	607	607
ENSG00000287396.1	663	663	663	663
ENSG00000231630.1	429	429	429	429
ENSG00000284745.1	1509	1509	1509	1509
ENSG00000169717.7	1437	1437	1437	1437
ENSG00000177133.14	2507	2254	4247	5243
ENSG00000142611.17	5665	4864	8698	8736
ENSG00000283572.1	61	61	61	61
ENSG00000226286.1	469	469	469	469
ENSG00000279839.1	2677	2677	2677	2677
ENSG00000272235.1	3461	3461	3461	3461
ENSG00000287828.1	728	728	728	728
ENSG00000286518.1	2784	2784	2784	2784
ENSG00000130762.15	2417	2219	2822	3162
ENSG00000272088.1	382	382	382	382
ENSG00000162591.17	6333	7056	7443	7812
ENSG00000207776.1	96	96	96	96
ENSG00000238260.3	1164	1164	1340	1340
ENSG00000158109.15	2295	2295	2401	2401
ENSG00000116213.16	1845	1845	1998	2043
ENSG00000078900.15	3301	2140	5192	5559
ENSG00000227589.1	754	754	754	754
ENSG00000235131.1	351	351	351	351
ENSG00000227372.12	2057	1455	3525	3964
ENSG00000276189.1	161	161	161	161
ENSG00000162592.10	2125	2125	2125	2125
ENSG00000235169.11	520	509	547	772
ENSG00000130764.10	4303	4303	4303	4303
ENSG00000266075.2	297	297	297	297
ENSG00000272153.1	531	531	531	531
ENSG00000116198.14	4894	5779	6559	7603
ENSG00000169598.17	2195	2833	3105	3185
ENSG00000198912.12	1574	1567	1645	2140
ENSG00000236423.8	2052	1940	3060	4620
ENSG00000233304.7	2324	2324	3242	4648
ENSG00000226374.3	1646	1646	1646	1646
ENSG00000284668.2	852	758	1258	1835
ENSG00000284703.1	4817	4817	4817	4817
ENSG00000229280.1	372	372	372	372
ENSG00000235054.4	2077	2077	2077	2077
ENSG00000284694.1	3402	3402	3402	3402
ENSG00000227169.2	356	356	356	356
ENSG00000232596.3	1034	963	1531	3026
ENSG00000196581.11	7242	7242	12102	12496
ENSG00000287586.1	3030	3030	3030	3030
ENSG00000284739.1	464	464	464	464
ENSG00000284674.1	1580	1580	1580	1580
ENSG00000231510.1	449	449	449	449
ENSG00000284616.1	1225	1225	1225	1225
ENSG00000284692.2	1520	1520	2210	2210
ENSG00000284666.1	609	609	609	609
ENSG00000260972.1	1697	1697	1697	1697
ENSG00000283356.1	135	135	135	135
ENSG00000236948.2	605	605	847	1095
ENSG00000264341.1	73	73	73	73
ENSG00000289893.1	1484	1484	1484	1484
ENSG00000264101.1	70	70	70	70
ENSG00000131697.18	3979	3979	4955	5131
ENSG00000069424.16	2593	2396	4302	9874
ENSG00000116254.18	9850	9850	9850	9850
ENSG00000285629.1	663	663	663	663
ENSG00000116251.11	1423	1423	2061	2415
ENSG00000226944.1	378	378	378	378
